year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,11,OO,SkyWest Airlines Inc.,EUG,"Eugene, OR: Mahlon Sweet Field",382,42,26,5,0,0,11,0,0,2822,1659,253,0,0,
2021,11,OO,SkyWest Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",80,11,8,0,1,0,2,1,0,485,272,0,42,0,
2021,11,OO,SkyWest Airlines Inc.,FAR,"Fargo, ND: Hector International",288,43,30,6,0,0,7,0,0,3072,2060,578,0,0,
2021,11,OO,SkyWest Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",604,94,65,9,0,0,20,5,8,8800,6194,1118,0,0,
2021,11,OO,SkyWest Airlines Inc.,FCA,"Kalispell, MT: Glacier Park International",148,23,17,1,1,0,4,0,0,1043,741,17,36,0,
2021,11,OO,SkyWest Airlines Inc.,FLG,"Flagstaff, AZ: Flagstaff Pulliam",162,19,10,0,0,0,9,1,1,1038,446,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,FNT,"Flint, MI: Bishop International",29,6,6,0,0,0,0,0,0,201,201,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,FOD,"Fort Dodge, IA: Fort Dodge Regional",49,3,2,0,0,0,1,0,0,1832,1172,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",176,22,16,3,0,0,3,0,0,1356,664,341,0,0,
2021,11,OO,SkyWest Airlines Inc.,FSM,"Fort Smith, AR: Fort Smith Regional",67,4,3,0,0,0,1,0,0,957,793,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,FWA,"Fort Wayne, IN: Fort Wayne International",278,53,35,0,0,1,17,0,1,2374,1404,0,0,32,
2021,11,OO,SkyWest Airlines Inc.,GCC,"Gillette, WY: Gillette Campbell County",58,2,2,0,0,0,0,0,0,54,54,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,GEG,"Spokane, WA: Spokane International",337,46,23,7,3,0,13,0,2,2388,1091,443,199,0,
2021,11,OO,SkyWest Airlines Inc.,GFK,"Grand Forks, ND: Grand Forks International",55,7,4,3,0,0,0,0,0,1198,1102,96,0,0,
2021,11,OO,SkyWest Airlines Inc.,GJT,"Grand Junction, CO: Grand Junction Regional",197,8,5,0,0,0,3,0,1,506,253,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,GNV,"Gainesville, FL: Gainesville Regional",14,1,0,0,0,0,1,0,0,16,0,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",87,18,15,3,0,0,0,0,0,989,643,346,0,0,
2021,11,OO,SkyWest Airlines Inc.,GRK,"Killeen, TX: Robert Gray AAF",60,3,3,0,0,0,0,0,0,64,64,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",361,72,52,12,0,0,8,1,0,4477,2759,771,0,0,
2021,11,OO,SkyWest Airlines Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",94,11,8,0,0,0,3,0,0,351,200,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,GTF,"Great Falls, MT: Great Falls International",119,7,7,0,0,0,0,0,0,277,277,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",59,6,5,0,0,0,1,0,0,429,217,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,HDN,"Hayden, CO: Yampa Valley",88,6,2,2,0,1,1,0,0,310,81,108,0,82,
2021,11,OO,SkyWest Airlines Inc.,HIB,"Hibbing, MN: Range Regional",50,3,3,0,0,0,0,0,0,1163,1163,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,HLN,"Helena, MT: Helena Regional",59,2,2,0,0,0,0,0,0,57,57,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,HOB,"Hobbs, NM: Lea County Regional",71,9,6,0,1,0,2,0,0,628,475,0,37,0,
2021,11,OO,SkyWest Airlines Inc.,HPN,"White Plains, NY: Westchester County",110,23,15,2,0,0,6,0,1,1605,1004,104,0,0,
2021,11,OO,SkyWest Airlines Inc.,HRL,"Harlingen/San Benito, TX: Valley International",56,6,2,0,0,0,4,1,1,308,65,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",96,13,9,0,0,0,4,0,0,669,379,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,HYS,"Hays, KS: Hays Regional",51,6,5,0,0,0,1,0,0,370,346,0,0,0,
2021,11,OO,SkyWest Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",433,84,67,6,0,1,10,5,0,8377,5648,975,0,21,
